iter	Passed	Remaining
237	6367	20387
238	6391	20352
239	6417	20322
240	6442	20288
241	6465	20250
242	6486	20208
243	6514	20184
244	6539	20153
245	6563	20116
246	6587	20082
247	6613	20053
248	6637	20019
249	6661	19985
250	6684	19946
251	6708	19913
252	6732	19878
253	6758	19850
254	6788	19832
255	6811	19796
256	6835	19760
257	6860	19729
258	6883	19694
259	6913	19675
260	6948	19673
261	6981	19665
262	7011	19648
263	7044	19640
264	7078	19631
265	7105	19607
266	7128	19570
267	7154	19540
268	7183	19521
269	7207	19486
270	7232	19456
271	7258	19427
272	7280	19388
273	7303	19351
274	7328	19319
275	7355	19295
276	7380	19263
277	7404	19230
278	7427	19193
279	7451	19161
280	7476	19130
281	7501	19099
282	7524	19065
283	7552	19040
284	7576	19007
285	7601	18978
286	7624	18942
287	7649	18911
288	7674	18881
289	7698	18847
290	7720	18809
291	7746	18783
292	7773	18756
293	7796	18723
294	7820	18688
295	7853	18679
296	7882	18658
297	7908	18630
298	7931	18595
299	7955	18562
300	7983	18540
301	8009	18512
302	8033	18478
303	8058	18449
304	8082	18418
305	8107	18387
306	8132	18357
307	8156	18326
308	8183	18300
309	8207	18267
310	8230	18233
311	8252	18196
312	8279	18172
313	8301	18135
314	8327	18109
315	8349	18073
316	8374	18042
317	8401	18018
318	8425	17986
319	8447	17951
320	8472	17921
321	8498	17893
322	8522	17863
323	8546	17831
324	8570	17800
325	8594	17769
326	8618	17737
327	8641	17704
328	8662	17667
329	8689	17642
330	8711	17607
331	8735	17576
332	8757	17541
333	8779	17506
334	8811	17491
335	8835	17461
336	8858	17427
337	8881	17394
338	8906	17366
339	8929	17333
340	8953	17303
341	8974	17267
342	9000	17239
343	9022	17206
344	9045	17173
345	9068	17141
346	9094	17115
347	9119	17086
348	9145	17059
349	9167	17025
350	9190	16992
351	9221	16975
352	9245	16944
353	9268	16912
354	9291	16881
355	9319	16858
356	9343	16828
357	9367	16798
358	9390	16767
359	9416	16739
360	9437	16705
361	9462	16676
362	9483	16642
363	9505	16608
364	9531	16582
365	9554	16550
366	9579	16522
367	9603	16492
368	9635	16477
369	9658	16446
370	9682	16415
371	9704	16382
372	9730	16357
373	9754	16327
374	9780	16301
375	9803	16270
376	9829	16242
377	9863	16230
378	9895	16214
379	9927	16197
380	9959	16181
381	9997	16173
382	10033	16163
383	10074	16161
384	10101	16135
385	10124	16105
386	10149	16076
387	10172	16045
388	10197	16017
389	10220	15986
390	10248	15962
391	10271	15930
392	10294	15900
393	10317	15869
394	10344	15843
395	10367	15812
396	10391	15782
397	10414	15752
398	10442	15729
399	10470	15706
400	10494	15676
